Date,Time,PH,EC[uS/cm],Water Level[in],Thermocouple #1[C],TC Cold Junction #1[C],Probe #1 Humidity,Probe #1 Temperature[C],Probe #1 Light Level[lux],Probe #1 Moisture Level,
07/22/21,20:55:58,36.07,-0.00,5.40,28.00,30.19,40.48,29.20,52.53,347.00,
07/22/21,20:56:59,36.07,-0.00,5.40,28.25,30.19,41.02,29.18,52.99,347.00,
07/22/21,20:57:59,36.07,-0.00,5.40,28.50,30.19,40.98,29.18,52.53,347.00,
07/22/21,20:59:00,36.07,-0.00,5.40,28.50,30.19,40.69,29.15,52.53,346.00,
07/22/21,21:00:01,36.07,-0.00,5.40,28.50,30.19,40.80,29.08,10631.12,346.00,
07/22/21,21:01:03,36.07,-0.00,5.40,28.50,30.12,40.69,29.12,91.70,346.00,
07/22/21,21:02:03,36.10,-0.00,5.40,28.75,30.19,40.73,29.16,93.54,347.00,
07/22/21,21:03:03,36.07,-0.00,5.40,28.75,30.19,40.79,29.16,92.62,347.00,
07/22/21,21:04:04,36.07,-0.00,5.40,29.00,30.19,40.83,29.19,92.16,347.00,
07/22/21,21:05:05,36.07,-0.00,5.40,29.00,30.25,40.90,29.23,91.24,346.00,
07/22/21,21:06:05,36.07,-0.00,5.40,29.00,30.25,40.88,29.30,92.16,345.00,
07/22/21,21:07:05,36.07,-0.00,5.40,29.00,30.25,40.82,29.29,92.62,346.00,
07/22/21,21:08:06,36.07,-0.00,5.40,28.75,30.25,40.91,29.27,91.24,346.00,
07/22/21,21:09:06,36.07,-0.00,5.40,29.00,30.31,41.05,29.27,91.24,345.00,
07/22/21,21:10:07,36.07,-0.00,5.40,28.75,30.31,40.99,29.30,91.24,345.00,
07/22/21,21:11:07,36.08,-0.00,5.40,28.75,30.31,40.95,29.29,91.24,346.00,
07/22/21,21:12:08,36.08,-0.00,5.40,29.00,30.31,40.88,29.30,91.70,346.00,
07/22/21,21:13:08,36.08,-0.00,5.40,28.75,30.31,40.84,29.27,91.24,346.00,
07/22/21,21:14:08,36.08,-0.00,5.40,28.75,30.31,40.78,29.26,91.70,346.00,
07/22/21,21:15:09,36.08,-0.00,5.40,28.75,30.31,41.09,29.25,91.70,346.00,
07/22/21,21:16:09,36.08,-0.00,5.40,28.75,30.31,41.06,29.26,91.70,346.00,
07/22/21,21:17:10,36.08,-0.00,5.40,28.75,30.31,41.05,29.27,83.87,345.00,
07/22/21,21:18:10,36.08,-0.00,5.40,28.75,30.38,41.21,29.26,83.87,346.00,
07/22/21,21:19:10,36.08,-0.00,5.40,28.75,30.38,41.01,29.26,83.87,345.00,
07/22/21,21:20:11,36.08,-0.00,5.40,28.75,30.38,41.02,29.27,83.87,345.00,
07/22/21,21:21:11,36.08,-0.00,5.40,28.75,30.38,40.91,29.26,83.87,346.00,
07/22/21,21:22:12,36.08,-0.00,5.40,28.75,30.38,41.05,29.26,83.87,345.00,
07/22/21,21:23:12,36.08,-0.00,5.40,28.75,30.38,41.17,29.27,91.70,346.00,
07/22/21,21:24:13,36.08,-0.00,5.40,28.75,30.44,41.33,29.29,90.78,345.00,
07/22/21,21:25:13,36.08,-0.00,5.40,28.75,30.44,41.43,29.27,91.24,345.00,
07/22/21,21:26:13,36.08,-0.00,5.40,28.75,30.44,41.32,29.32,91.24,345.00,
07/22/21,21:27:14,36.08,-0.00,5.40,28.75,30.44,41.15,29.29,91.24,346.00,
07/22/21,21:28:14,36.08,-0.00,5.40,29.00,30.44,41.18,29.26,90.78,345.00,
07/22/21,21:29:15,36.07,-0.00,5.40,29.00,30.44,41.28,29.26,90.78,345.00,
07/22/21,21:30:15,36.05,-0.00,5.40,29.00,30.50,41.42,29.25,91.70,346.00,
07/22/21,21:31:16,36.07,-0.00,5.40,28.75,30.44,41.44,29.27,89.40,346.00,
07/22/21,21:32:16,36.07,-0.00,5.40,29.00,30.44,41.35,29.22,90.78,346.00,
07/22/21,21:33:16,36.07,-0.00,5.40,29.00,30.50,41.48,29.26,82.94,345.00,
07/22/21,21:34:17,36.07,-0.00,5.40,29.00,30.50,41.41,29.27,82.94,345.00,
07/22/21,21:35:17,36.07,-0.00,5.40,28.75,30.50,41.33,29.26,83.87,346.00,
07/22/21,21:36:18,36.07,-0.00,5.40,29.00,30.50,41.43,29.26,83.87,346.00,
07/22/21,21:37:18,36.07,-0.00,5.40,28.75,30.56,41.49,29.27,83.87,345.00,
07/22/21,21:38:18,36.07,-0.00,5.40,29.00,30.50,41.41,29.29,84.33,346.00,
07/22/21,21:39:19,36.07,-0.00,5.40,28.75,30.50,41.27,29.26,82.94,346.00,
07/22/21,21:40:19,36.07,-0.00,5.40,29.00,30.56,41.40,29.25,83.87,346.00,
07/22/21,21:41:20,36.07,-0.00,5.40,29.00,30.50,41.38,29.27,84.33,345.00,
07/22/21,21:42:20,36.07,-0.00,5.40,28.75,30.50,41.47,29.27,84.33,345.00,
07/22/21,21:43:21,36.07,-0.00,5.40,28.75,30.50,41.57,29.27,83.40,345.00,
07/22/21,21:44:21,36.07,-0.00,5.40,28.75,30.44,41.20,29.22,78.34,345.00,
07/22/21,21:45:22,36.07,-0.00,5.40,28.25,30.44,41.26,29.14,82.94,346.00,
07/22/21,21:46:22,36.07,-0.00,5.40,28.50,30.44,41.33,29.16,82.94,346.00,
07/22/21,21:47:23,36.07,-0.00,5.40,28.50,30.38,41.29,29.18,84.33,345.00,
07/22/21,21:48:23,36.07,-0.00,5.40,28.75,30.38,41.36,29.18,82.94,346.00,
07/22/21,21:49:23,36.07,-0.00,5.40,28.75,30.31,41.24,29.15,82.94,346.00,
07/22/21,21:50:24,36.07,-0.00,5.40,28.75,30.31,41.43,29.18,84.33,346.00,
07/22/21,21:51:24,36.07,-0.00,5.40,28.75,30.31,41.36,29.20,84.33,345.00,
07/22/21,21:52:25,36.07,-0.00,5.40,28.75,30.31,41.34,29.19,84.33,345.00,
07/22/21,21:53:25,36.07,-0.00,5.40,28.75,30.38,41.46,29.18,84.33,345.00,
07/22/21,21:54:25,36.07,-0.00,5.40,28.75,30.38,41.39,29.22,84.33,346.00,
07/22/21,21:55:26,36.07,-0.00,5.40,28.75,30.44,41.37,29.19,84.33,346.00,
07/22/21,21:56:26,36.07,-0.00,5.40,28.75,30.38,41.34,29.25,90.78,346.00,
07/22/21,21:57:27,36.07,-0.00,5.40,28.75,30.44,41.32,29.22,90.78,345.00,
07/22/21,21:58:27,36.07,-0.00,5.40,28.75,30.44,41.33,29.19,90.78,345.00,
07/22/21,21:59:28,36.07,-0.00,5.40,28.75,30.44,41.43,29.16,90.32,345.00,
07/22/21,22:00:28,36.07,-0.00,5.40,28.75,30.38,41.53,29.20,90.32,345.00,
07/22/21,22:01:29,36.07,-0.00,5.40,28.75,30.44,41.58,29.18,90.32,345.00,
07/22/21,22:02:29,36.07,-0.00,5.40,28.75,30.44,41.68,29.19,90.32,345.00,
07/22/21,22:03:29,36.05,-0.00,5.40,28.75,30.50,41.71,29.16,90.32,346.00,
07/22/21,22:04:30,36.07,-0.00,5.40,28.75,30.44,41.88,29.19,89.40,346.00,
07/22/21,22:05:30,36.05,-0.00,5.40,28.75,30.50,41.78,29.18,89.40,346.00,
07/22/21,22:06:31,36.07,-0.00,5.40,28.75,30.44,41.62,29.20,84.33,346.00,
07/22/21,22:07:31,36.07,-0.00,5.40,28.75,30.44,41.61,29.20,83.40,346.00,
07/22/21,22:08:31,36.07,-0.00,5.40,28.75,30.44,41.44,29.16,83.40,345.00,
07/22/21,22:09:32,36.07,-0.00,5.40,28.75,30.44,41.48,29.18,83.40,345.00,
07/22/21,22:10:32,36.07,-0.00,5.40,28.75,30.44,41.40,29.19,83.40,346.00,
07/22/21,22:11:33,36.07,-0.00,5.40,28.75,30.44,41.34,29.18,83.40,345.00,
07/22/21,22:12:33,36.07,-0.00,5.40,28.75,30.44,41.29,29.18,83.40,346.00,
07/22/21,22:13:34,36.07,-0.00,5.40,28.75,30.44,41.14,29.16,83.40,346.00,
07/22/21,22:14:34,36.07,-0.00,5.40,28.75,30.44,41.16,29.18,82.02,346.00,
07/22/21,22:15:34,36.07,-0.00,5.40,28.75,30.44,41.17,29.18,82.02,345.00,
07/22/21,22:16:35,36.07,-0.00,5.40,28.75,30.44,41.08,29.15,82.02,346.00,
07/22/21,22:17:35,36.07,-0.00,5.40,28.75,30.44,41.04,29.16,82.02,345.00,
07/22/21,22:18:36,36.07,-0.00,5.40,28.75,30.44,40.97,29.16,82.02,346.00,
07/22/21,22:19:36,36.07,-0.00,5.40,28.75,30.44,40.88,29.14,79.72,346.00,
07/22/21,22:20:36,36.07,-0.00,5.40,28.75,30.38,40.86,29.08,82.48,345.00,
07/22/21,22:21:37,36.07,-0.00,5.40,28.50,30.38,41.08,29.09,82.02,346.00,
07/22/21,22:22:37,36.07,-0.00,5.40,28.75,30.38,41.12,29.11,83.40,346.00,
07/22/21,22:23:38,36.07,-0.00,5.40,28.75,30.44,41.00,29.09,89.40,345.00,
07/22/21,22:24:38,36.07,-0.00,5.40,28.75,30.44,41.11,29.11,89.40,346.00,
07/22/21,22:25:39,36.07,-0.00,5.40,28.75,30.44,41.53,29.12,89.40,345.00,
07/22/21,22:26:39,36.05,-0.00,5.40,28.75,30.44,41.35,29.05,90.78,345.00,
07/22/21,22:27:40,36.07,-0.00,5.40,28.75,30.38,41.55,29.06,89.40,346.00,
07/22/21,22:28:40,36.07,-0.00,5.40,28.75,30.44,41.60,29.05,90.78,345.00,
07/22/21,22:29:40,36.07,-0.00,5.40,28.75,30.44,41.66,29.04,90.78,346.00,
07/22/21,22:30:41,36.07,-0.00,5.40,28.75,30.44,42.02,29.05,90.78,346.00,
07/22/21,22:31:41,36.07,-0.00,5.40,28.75,30.44,41.92,29.05,89.40,345.00,
07/22/21,22:32:42,36.07,-0.00,5.40,28.75,30.50,42.14,29.06,90.78,346.00,
07/22/21,22:33:42,36.07,-0.00,5.40,28.75,30.44,42.24,29.02,82.94,345.00,
07/22/21,22:34:43,36.07,-0.00,5.40,28.75,30.50,42.31,29.06,82.94,345.00,
07/22/21,22:35:43,36.07,-0.00,5.40,28.75,30.50,42.27,29.04,90.78,346.00,
07/22/21,22:36:44,36.07,-0.00,5.40,28.75,30.50,42.30,29.04,96.77,346.00,
07/22/21,22:37:44,36.07,-0.00,5.40,28.75,30.44,42.12,29.01,95.85,346.00,
07/22/21,22:38:45,36.07,-0.00,5.40,28.75,30.44,42.19,28.98,119.35,346.00,
07/22/21,22:39:45,36.07,-0.00,5.40,28.75,30.44,42.13,28.98,117.96,345.00,
07/22/21,22:40:45,36.07,-0.00,5.40,28.75,30.44,42.27,28.95,119.35,346.00,
07/22/21,22:41:46,36.07,-0.00,5.40,28.50,30.38,42.24,28.95,117.96,346.00,
07/22/21,22:42:46,36.07,-0.00,5.40,28.50,30.38,42.23,28.89,119.35,345.00,
07/22/21,22:43:47,36.07,-0.00,5.40,28.50,30.38,42.40,28.88,118.43,345.00,
07/22/21,22:44:47,36.07,-0.00,5.40,28.50,30.31,42.29,28.85,118.43,345.00,
07/22/21,22:45:48,36.07,-0.00,5.40,28.50,30.31,42.42,28.87,117.96,346.00,
07/22/21,22:46:48,36.07,-0.00,5.40,28.50,30.31,42.43,28.84,117.96,345.00,
07/22/21,22:47:49,36.07,-0.00,5.40,28.50,30.31,42.52,28.84,119.35,345.00,
07/22/21,22:48:49,36.07,-0.00,5.40,28.50,30.31,42.59,28.82,117.96,345.00,
07/22/21,22:49:49,36.07,-0.00,5.40,28.50,30.25,42.48,28.78,117.96,346.00,
07/22/21,22:50:50,36.07,-0.00,5.40,28.50,30.31,42.80,28.78,117.96,345.00,
07/22/21,22:51:50,36.07,-0.00,5.40,28.50,30.25,42.89,28.77,118.89,346.00,
07/22/21,22:52:51,36.07,-0.00,5.40,28.50,30.25,43.12,28.77,119.35,346.00,
07/22/21,22:53:51,36.07,-0.00,5.40,28.50,30.25,42.99,28.72,119.35,346.00,
07/22/21,22:54:52,36.07,-0.00,5.40,28.50,30.25,43.05,28.75,118.89,346.00,
