Date,Time,Thermocouple #1[C],TC Cold Junction #1[C],Water Level[in],Probe #1 Humidity,Probe #1 Temperature[C],EC[uS/cm],Probe #1 Light Level[lux],PH,Probe #1 Moisture Level,
08/01/21,18:59:49,31.50,32.62,0.00,42.59,31.54,1.58,76.03,4.02,353.00,
08/01/21,19:00:50,31.50,32.62,3.00,41.54,31.50,1.58,76.03,4.02,352.00,
08/01/21,19:01:51,31.25,32.62,3.00,41.16,31.45,1.58,74.65,4.03,352.00,
08/01/21,19:02:52,31.25,32.62,3.00,41.04,31.40,1.58,76.95,4.02,353.00,
08/01/21,19:03:52,31.25,32.62,3.00,40.67,31.38,1.59,70.96,4.02,353.00,
08/01/21,19:04:53,31.25,32.69,3.00,40.54,31.32,1.59,62.21,4.02,352.00,
08/01/21,19:05:54,31.25,32.69,3.00,40.50,31.25,1.59,68.20,4.02,353.00,
08/01/21,19:06:55,31.25,32.62,3.00,40.46,31.18,1.59,65.43,4.01,353.00,
08/01/21,19:07:55,31.25,32.62,3.00,40.47,31.12,1.59,60.36,4.02,351.00,
08/01/21,19:08:56,31.00,32.69,3.00,40.45,31.07,1.59,58.52,4.01,352.00,
08/01/21,19:09:57,31.00,32.69,3.00,40.42,31.05,1.59,50.23,4.01,353.00,
08/01/21,19:10:58,31.00,32.62,3.00,40.43,31.01,1.59,44.47,4.01,352.00,
08/01/21,19:11:59,31.00,32.62,3.00,40.43,30.98,1.59,44.93,4.01,352.00,
08/01/21,19:12:59,31.00,32.56,3.00,40.48,30.95,1.59,42.39,4.00,353.00,
08/01/21,19:13:59,31.00,32.62,3.00,40.48,30.95,1.59,37.56,4.00,353.00,
08/01/21,19:14:59,31.00,32.56,3.00,40.52,30.94,1.59,37.09,4.00,353.00,
08/01/21,19:16:00,31.00,32.50,3.00,40.46,30.85,1.59,32.26,4.00,353.00,
08/01/21,19:17:01,31.00,32.56,3.00,40.47,30.84,1.59,33.18,4.00,352.00,
08/01/21,19:18:01,30.75,32.50,3.00,40.54,30.80,1.59,25.34,4.00,353.00,
08/01/21,19:19:02,30.75,32.50,3.00,40.59,30.77,1.59,29.03,4.00,352.00,
08/01/21,19:20:03,30.75,32.50,3.00,40.59,30.74,1.59,21.20,4.00,352.00,
08/01/21,19:21:03,30.75,32.44,3.00,40.68,30.74,1.59,18.26,4.00,352.00,
